Study Title,Interventions (Drugs),SMILES,Type (C/I),Location,Remarks
Hydroxychloroquine to Prevent Covid19 Pneumonia (ALBERTA HOPE-Covid19),Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,C,"University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada",
Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,angiotensin-converting enzyme 2,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,C,"GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",
Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,angiotensin-converting enzyme 2,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N,I,"GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",
Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers,Lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,C,"CHU d'Angers, Angers, France, AP-HP - Hôpital Bichat, Paris, France, CHU de Saint-Etienne,Saint-Étienne, France",
Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers,Lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,I,"CHU d'Angers, Angers, France, AP-HP - Hôpital Bichat, Paris, France, CHU de Saint-Etienne,Saint-Étienne, France",
Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers,ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,C,"CHU d'Angers, Angers, France, AP-HP - Hôpital Bichat, Paris, France, CHU de Saint-Etienne,Saint-Étienne, France",
Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers,ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,I,"CHU d'Angers, Angers, France, AP-HP - Hôpital Bichat, Paris, France, CHU de Saint-Etienne,Saint-Étienne, France",
"Efficacy of Addition of Naproxen in the Treatment of Critically 
Ill Patients Hospitalized for COVID-19 Infection",Naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C,,
"Efficacy of Addition of Naproxen in the Treatment of Critically 
Ill Patients Hospitalized for COVID-19 Infection",Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,I,,
"Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With 
Suspected or Confirmed COVID-19",Azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,C,"Intermountain Medical Center
 Murray, Utah, United States
 University of Utah
 Salt Lake City, Utah, United States",
